summary_file,raw_file,exact_match_ratio,cosine_similarity,topic_overlap,key_phrase_overlap,semantic_similarity,readability_summary,readability_raw,sentence_length_summary,sentence_length_raw
blog_summary_23.txt,raw_text_23.txt,0.620253164556962,0.7069054047184365,0.0,0.620253164556962,0.6528821,15.0,9.8,25.0,30.804911323328785
blog_summary_24.txt,raw_text_24.txt,0.6452830188679245,0.7914442590885133,0.3333333333333333,0.6452830188679245,0.9232732,17.0,11.3,31.157894736842106,24.76065573770492
blog_summary_25.txt,raw_text_25.txt,0.4605263157894737,0.8197315834372259,0.5,0.4605263157894737,0.9182997,18.7,13.4,32.6,22.379310344827587
blog_summary_26.txt,raw_text_26.txt,0.5690376569037657,0.6302410632309108,1.0,0.5690376569037657,0.9235498,17.7,11.7,29.875,36.742096505823625
blog_summary_27.txt,raw_text_27.txt,0.5180722891566265,0.6876103244507868,0.5,0.5180722891566265,0.8982406,17.5,7.6,30.352941176470587,25.994949494949495
blog_summary_28.txt,raw_text_28.txt,0.5046296296296297,0.6623479270033569,0.25,0.5046296296296297,0.904111,18.6,11.0,30.866666666666667,23.74798927613941
blog_summary_29.txt,raw_text_29.txt,0.5827067669172933,0.7370912458163862,0.0,0.5827067669172933,0.9265325,17.2,8.6,32.875,29.6816091954023
blog_summary_3.txt,raw_text_3.txt,0.5579399141630901,0.6750281575441929,0.5,0.5579399141630901,0.92392385,16.1,10.5,29.166666666666668,19.072948328267476
blog_summary_30.txt,raw_text_30.txt,0.6140350877192983,0.7579944176258799,0.0,0.6140350877192983,0.9391048,18.8,11.0,29.1875,23.619565217391305
blog_summary_31.txt,raw_text_31.txt,0.6450381679389313,0.7683435204292827,0.3333333333333333,0.6450381679389313,0.9270235,17.9,11.6,30.105263157894736,22.761904761904763
blog_summary_32.txt,raw_text_32.txt,0.6790697674418604,0.8481799873686059,0.5,0.6790697674418604,0.94332945,17.8,10.8,31.133333333333333,22.52772466539197
blog_summary_33.txt,raw_text_33.txt,0.5502008032128514,0.7774625451658044,1.0,0.5502008032128514,0.9242076,17.2,12.9,31.352941176470587,22.258823529411764
blog_summary_34.txt,raw_text_34.txt,0.6329113924050633,0.8131122086674211,0.0,0.6329113924050633,0.91755784,18.2,12.0,31.375,26.58653846153846
blog_summary_35.txt,raw_text_35.txt,0.452914798206278,0.7195180755399575,0.5,0.452914798206278,0.91085136,16.4,11.4,25.63157894736842,19.273809523809526
blog_summary_36.txt,raw_text_36.txt,0.44155844155844154,0.5036013228109615,0.0,0.44155844155844154,0.90214455,18.0,9.6,30.235294117647058,30.43032786885246
blog_summary_37.txt,raw_text_37.txt,0.46382978723404256,0.7465269167192852,1.0,0.46382978723404256,0.9066038,18.9,9.6,29.625,23.065693430656935
blog_summary_38.txt,raw_text_38.txt,0.4642857142857143,0.7336312915141494,0.5,0.4642857142857143,0.9047748,18.0,11.6,31.333333333333332,26.373417721518987
blog_summary_39.txt,raw_text_39.txt,0.37037037037037035,0.7336058849605417,0.0,0.37037037037037035,0.614658,16.0,9.0,28.41176470588235,39.93478260869565
blog_summary_4.txt,raw_text_4.txt,0.3073770491803279,0.5069693475153105,0.0,0.3073770491803279,0.7988153,16.3,8.6,28.85,42.64705882352941
blog_summary_40.txt,raw_text_40.txt,0.40963855421686746,0.7791931217773226,0.5,0.40963855421686746,0.9003668,17.3,10.0,29.31578947368421,22.817813765182187
blog_summary_41.txt,raw_text_41.txt,0.4898989898989899,0.7634406678950638,0.5,0.4898989898989899,0.9132675,16.6,9.6,29.8,17.334586466165412
blog_summary_42.txt,raw_text_42.txt,0.44841269841269843,0.7404008053347151,0.5,0.44841269841269843,0.8878944,16.9,11.3,30.333333333333332,32.58682634730539
blog_summary_43.txt,raw_text_43.txt,0.49377593360995853,0.7250191989754167,0.5,0.49377593360995853,0.910225,18.3,10.2,31.235294117647058,25.72
