summary_file,raw_file,exact_match_ratio,cosine_similarity,topic_overlap,key_phrase_overlap,semantic_similarity,readability_summary,readability_raw,sentence_length_summary,sentence_length_raw
GPT_4o_90.txt,GPT_4o_Raw_Text_90.txt,0.47214854111405835,0.8342069316426217,0.5,0.47214854111405835,0.9838035,17.3,16.6,25.324324324324323,22.756756756756758
GPT_4o_91.txt,GPT_4o_Raw_Text_91.txt,0.39540816326530615,0.785735118291564,0.5,0.39540816326530615,0.9678122,13.2,12.7,21.4,19.573529411764707
GPT_4o_92.txt,GPT_4o_Raw_Text_92.txt,0.416403785488959,0.7685607721385252,0.5,0.416403785488959,0.97154295,15.3,11.9,24.5,15.788732394366198
GPT_4o_93.txt,GPT_4o_Raw_Text_93.txt,0.4316353887399464,0.7945974923588902,1.0,0.4316353887399464,0.9611062,15.4,16.9,24.43243243243243,24.52173913043478
GPT_4o_94.txt,GPT_4o_Raw_Text_94.txt,0.38368580060422963,0.7653255578530425,1.0,0.38368580060422963,0.95486337,13.2,12.6,22.02777777777778,20.782608695652176
GPT_4o_95.txt,GPT_4o_Raw_Text_95.txt,0.4228187919463087,0.793862113582544,1.0,0.4228187919463087,0.9430641,13.6,13.5,22.225806451612904,23.11904761904762
GPT_4o_96.txt,GPT_4o_Raw_Text_96.txt,0.4045584045584046,0.7128180616960187,0.5,0.4045584045584046,0.94356966,14.2,14.4,20.441860465116278,22.32608695652174
GPT_4o_97.txt,GPT_4o_Raw_Text_97.txt,0.4122340425531915,0.8465775404293573,0.5,0.4122340425531915,0.9370289,13.6,12.0,25.17142857142857,19.946428571428573
GPT_4o_98.txt,GPT_4o_Raw_Text_98.txt,0.3404761904761905,0.7334187956990418,0.5,0.3404761904761905,0.9590528,13.2,13.2,22.404761904761905,29.897435897435898
GPT_4o_99.txt,GPT_4o_Raw_Text_99.txt,0.4043583535108959,0.8240629853670345,1.0,0.4043583535108959,0.96800804,15.8,16.0,23.846153846153847,24.608695652173914
