summary_file,blog_file,exact_match_ratio,cosine_similarity,topic_overlap,key_phrase_overlap,semantic_similarity,readability_summary,readability_blog,sentence_length_summary,sentence_length_blog
blog_summary_59.txt,GPT_4o_59.txt,0.6995515695067265,0.8394539987637514,0.5,0.6995515695067265,0.9800863,18.2,15.9,35.083333333333336,24.6
blog_summary_6.txt,GPT_4o_6.txt,0.7276785714285714,0.8767002378917594,0.5,0.7276785714285714,0.9847438,18.4,17.1,28.0,26.5625
blog_summary_60.txt,GPT_4o_60.txt,0.7740585774058577,0.9033415585307056,1.0,0.7740585774058577,0.9812789,19.3,16.7,32.86666666666667,26.636363636363637
blog_summary_61.txt,GPT_4o_61.txt,0.656,0.8740007353066204,1.0,0.656,0.98470145,16.8,14.3,27.57894736842105,22.386363636363637
blog_summary_62.txt,GPT_4o_62.txt,0.7407407407407407,0.8795001579832833,0.0,0.7407407407407407,0.98564947,18.0,17.5,27.0625,27.655172413793103
blog_summary_63.txt,GPT_4o_63.txt,0.8564814814814815,0.8997501337913353,0.6666666666666666,0.8564814814814815,0.97812486,17.8,15.9,34.166666666666664,27.89189189189189
blog_summary_64.txt,GPT_4o_64.txt,0.8,0.9046646420725935,1.0,0.8,0.98359126,18.4,15.1,31.857142857142858,24.25
blog_summary_65.txt,GPT_4o_65.txt,0.7843137254901961,0.9338952726101133,1.0,0.7843137254901961,0.99018013,18.8,16.9,28.57894736842105,26.454545454545453
blog_summary_66.txt,GPT_4o_66.txt,0.7777777777777778,0.8685851993508322,0.5,0.7777777777777778,0.9836884,18.8,15.1,28.8,24.176470588235293
blog_summary_67.txt,GPT_4o_67.txt,0.8151658767772512,0.8610734494770045,1.0,0.8151658767772512,0.9732832,19.0,15.2,29.928571428571427,22.928571428571427
blog_summary_68.txt,GPT_4o_68.txt,0.8008474576271186,0.9242636707736851,1.0,0.8008474576271186,0.98287153,18.7,17.1,33.214285714285715,26.88235294117647
blog_summary_69.txt,GPT_4o_69.txt,0.8904109589041096,0.9307111147224767,0.5,0.8904109589041096,0.9827682,15.8,15.4,23.5,24.5625
blog_summary_7.txt,GPT_4o_7.txt,0.8302752293577982,0.9093968477652998,1.0,0.8302752293577982,0.98222184,17.6,16.2,30.6875,24.37142857142857
blog_summary_70.txt,GPT_4o_70.txt,0.7791164658634538,0.9091525517552205,0.5,0.7791164658634538,0.9819268,17.6,15.6,33.3125,25.64516129032258
blog_summary_71.txt,GPT_4o_71.txt,0.6577777777777778,0.8617391315547742,1.0,0.6577777777777778,0.96474653,16.3,14.5,28.1875,22.384615384615383
blog_summary_72.txt,GPT_4o_72.txt,0.7209302325581395,0.9261944766729656,1.0,0.7209302325581395,0.9896146,15.9,15.3,28.0,24.296296296296298
blog_summary_73.txt,GPT_4o_73.txt,0.7419354838709677,0.8923132526110444,0.3333333333333333,0.7419354838709677,0.9683686,18.0,14.7,30.428571428571427,23.696969696969695
blog_summary_74.txt,GPT_4o_74.txt,0.8687258687258688,0.9207659251529853,0.5,0.8687258687258688,0.98424786,17.6,16.4,30.166666666666668,25.147058823529413
blog_summary_75.txt,GPT_4o_75.txt,0.8571428571428571,0.9035364123828836,0.5,0.8571428571428571,0.9826711,16.4,14.3,29.133333333333333,25.3
blog_summary_76.txt,GPT_4o_76.txt,0.7073170731707317,0.8637210029088216,0.5,0.7073170731707317,0.9823061,15.4,12.9,27.4,22.390243902439025
blog_summary_77.txt,GPT_4o_77.txt,0.7129629629629629,0.811273441043189,0.3333333333333333,0.7129629629629629,0.9674162,16.5,12.5,31.6,20.75
blog_summary_78.txt,GPT_4o_78.txt,0.7269076305220884,0.8914683600896001,0.5,0.7269076305220884,0.98203635,18.9,16.9,33.4,25.96969696969697
blog_summary_79.txt,GPT_4o_79.txt,0.7073170731707317,0.8605272870176532,1.0,0.7073170731707317,0.9768838,18.1,15.4,35.13333333333333,25.16216216216216
